City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fonte boa,-2.4959,-66.2662,28.49,70,58,0.6,BR,1701207897
83,enewetak,11.3474,162.3373,27.81,75,77,10.3,MH,1701207425
84,hotan,37.0997,79.9269,2.33,28,26,0.93,CN,1701207496
85,kailua-kona,19.6406,-155.9956,28.06,75,40,4.63,US,1701207470
86,chibougamau,49.9168,-74.3659,-7.21,93,100,4.12,CA,1701207146
87,mount gambier,-37.8333,140.7667,14.82,88,100,6.05,AU,1701207430
88,guiyang,26.5833,106.7167,11.27,66,0,3.0,CN,1701207898
89,hamilton,39.1834,-84.5333,-1.71,54,0,3.09,US,1701207202
90,kourou,5.1552,-52.6478,28.03,85,25,3.1,GF,1701207462
91,ust-nera,64.5667,143.2,-20.98,99,100,1.28,RU,1701207395
92,palmer,42.1584,-72.3287,1.19,39,20,5.66,US,1701207468
93,'alaqahdari dishu,30.4374,63.313,16.84,39,0,1.83,AF,1701207899
94,christiana,-27.914,25.1611,24.37,39,100,5.28,ZA,1701207899
95,charters towers,-20.1,146.2667,28.35,60,1,4.3,AU,1701207899
96,afaahiti,-17.75,-149.2833,27.93,84,100,10.0,PF,1701207483
97,carnarvon,-24.8667,113.6333,20.97,64,60,5.61,AU,1701207400
98,gisborne,-38.6533,178.0042,17.39,65,22,6.93,NZ,1701207512
99,nikolayevsk-on-amure,53.1406,140.73,-18.6,94,96,1.98,RU,1701207501
100,yinchuan,38.4681,106.2731,-7.03,34,2,3.33,CN,1701207656
101,puerto natales,-51.7236,-72.4875,8.19,62,38,5.37,CL,1701207397
102,les anglais,18.3054,-74.2197,27.33,79,69,1.97,HT,1701207901
103,bethel,41.3712,-73.414,1.22,50,0,4.63,US,1701207210
104,malakal,9.5334,31.6605,28.28,27,96,2.28,SS,1701207901
105,fort bragg,35.139,-79.006,11.91,32,0,5.14,US,1701207441
106,port hedland,-20.3167,118.5667,26.03,73,100,7.2,AU,1701207766
107,akrehamn,59.2667,5.1833,-2.86,59,20,5.14,NO,1701207500
108,deqen,29.9618,90.7188,-1.41,54,98,1.55,CN,1701207676
109,ryotsu-minato,38.0833,138.4333,6.79,92,99,6.76,JP,1701207657
110,daromehar,24.7946,68.1805,19.71,33,80,3.51,PK,1701207903
111,puerto ayora,-0.7393,-90.3518,26.98,92,78,4.92,EC,1701207392
112,san luis de la loma,17.2706,-100.8939,28.39,73,100,1.48,MX,1701207904
113,sao vicente,-23.9631,-46.3919,33.1,56,40,0.45,BR,1701207515
114,boa vista,2.8197,-60.6733,32.99,49,40,4.12,BR,1701207904
115,padang,-0.9492,100.3543,25.03,91,98,0.95,ID,1701207772
116,lijiang,26.8688,100.2207,2.76,78,10,2.42,CN,1701207905
117,abalak,58.1286,68.5944,-1.47,91,94,4.06,RU,1701207906
118,tazacorte,28.629,-17.9293,19.54,82,0,3.6,ES,1701207530
119,stanley,54.868,-1.6985,1.4,86,40,2.57,GB,1701207403
120,hilo,19.7297,-155.09,27.27,75,20,4.63,US,1701207427
121,shakawe,-18.3667,21.85,21.49,63,47,2.62,BW,1701207907
122,huarmey,-10.0681,-78.1522,21.66,78,53,5.21,PE,1701207733
123,hafar al-batin,28.4328,45.9708,15.32,63,0,2.06,SA,1701207908
124,revda,56.801,59.9303,-3.11,99,100,2.4,RU,1701207739
125,praia da vitoria,38.7333,-27.0667,18.75,100,75,5.33,PT,1701207450
126,saldanha,-33.0117,17.9442,14.03,75,1,7.6,ZA,1701207464
127,lospalos,-8.5186,127.0025,24.14,79,55,1.07,TL,1701207909
128,hadibu,12.65,54.0333,25.23,71,100,4.79,YE,1701207494
129,fredericton,45.9454,-66.6656,1.02,85,40,2.57,CA,1701207909
130,badger,64.8,-147.5333,-7.58,90,75,1.54,US,1701207303
131,st. john's,47.5649,-52.7093,9.88,97,100,16.46,CA,1701207338
132,vallenar,-28.5708,-70.7581,25.59,33,0,3.41,CL,1701207911
133,cozumel,20.5083,-86.9458,28.04,81,75,5.81,MX,1701207886
134,kellinghusen,53.952,9.7196,-1.52,42,100,4.96,DE,1701207911
135,camapua,-19.5314,-54.0439,24.14,81,96,0.92,BR,1701207525
136,el triunfo,-1.9333,-79.9667,33.02,47,88,5.55,EC,1701207912
137,ulaangom,49.9811,92.0667,-13.93,90,98,2.25,MN,1701207912
